	F1D3Q.sam.counts	F1DFM.sam.counts	F1DNM.sam.counts	F1N1Q.sam.counts	F1N3Q.sam.counts	F1NFM.sam.counts	F1NNM.sam.counts	F2D3Q.sam.counts	F2DFM.sam.counts	F2DNM.sam.counts	F2N1Q.sam.counts	F2N3Q.sam.counts	F2NFM.sam.counts	F2NNM.sam.counts	F3DFM.sam.counts	F3DNM.sam.counts	F3N1Q.sam.counts	F3N3Q.sam.counts	F3NFM.sam.counts	F3NNM.sam.counts	
isogroup1	6	9	3	2	0	3	7	7	5	4	5	3	4	2	2	0	4	3	1	0	
isogroup10	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	
isogroup100	7	18	1	3	9	11	10	8	7	7	4	8	5	4	6	4	6	1	3	1	
isogroup1000	2	27	6	21	5	32	14	1	17	23	26	3	5	26	4	14	7	3	13	10	
isogroup10000	3	0	46	0	0	0	0	0	1	2	60	0	1	0	0	0	1	3	4	143	
isogroup10001	53	164	19	61	170	87	61	27	34	44	28	116	64	37	17	51	6	21	13	10	
isogroup10002	18	49	18	25	65	47	59	17	33	26	25	53	31	18	6	31	6	10	1	4	
isogroup10003	38	62	49	46	93	51	61	81	80	82	81	65	105	37	56	31	86	106	120	45	
isogroup10004	1	1	17	2	1	1	44	48	49	42	58	72	39	13	21	1	25	72	35	32	
isogroup10005	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	
isogroup10006	355	609	204	297	442	379	454	231	360	342	255	353	227	261	144	352	76	79	77	64	
isogroup10008	14	2	3	1	11	5	4	1	3	3	1	3	1	4	2	2	3	1	1	1	
isogroup10009	11	62	18	35	40	26	37	32	48	47	63	27	59	15	44	20	58	45	77	27	
isogroup10010	7	9	2	2	4	7	1	1	0	0	0	1	1	1	0	4	1	0	0	0	
isogroup10012	2	6	2	4	9	6	2	0	4	6	8	0	3	6	9	3	5	1	0	6	
isogroup10014	39	50	34	22	31	28	69	24	34	56	29	55	29	20	11	29	10	26	14	13	
isogroup10015	2	11	1	3	3	7	4	0	4	5	2	13	5	6	1	1	1	9	3	3	
isogroup10016	32	111	26	69	71	65	59	13	58	62	80	31	31	38	19	49	15	5	6	9	
isogroup10017	21	11	3	18	32	20	18	15	10	16	14	30	14	32	1	18	2	8	2	7	
isogroup10018	2	7	2	2	1	2	3	0	3	2	2	0	4	2	3	1	2	0	1	2	
isogroup10019	6	16	8	20	13	20	17	8	22	15	13	10	29	14	8	25	21	29	33	12	
isogroup1002	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup10021	32	103	40	74	89	90	84	20	68	70	62	46	52	52	57	61	44	33	42	47	
isogroup10022	2	24	3	12	8	15	7	2	5	11	6	4	2	10	8	18	4	3	1	4	
isogroup10023	13	20	11	9	21	14	16	8	5	6	10	18	8	9	3	10	4	6	3	2	
isogroup10024	6	27	10	8	32	11	8	7	4	14	6	34	5	14	8	14	3	9	3	7	
isogroup10025	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup10026	212	314	74	232	300	326	212	124	136	194	127	264	86	253	63	244	56	52	48	37	
isogroup10027	177	713	313	447	980	497	448	158	292	452	264	859	220	456	224	660	174	459	145	220	
isogroup10028	48	52	26	27	52	48	34	29	23	41	27	33	34	33	32	38	16	18	15	16	
isogroup10029	2	9	10	11	3	16	16	4	7	6	11	5	16	12	5	4	8	1	12	5	
isogroup10030	36	24	19	42	50	28	29	1	11	23	1	8	5	54	6	35	4	12	3	7	
isogroup10031	95	143	76	84	175	122	127	86	125	123	90	152	69	82	62	95	33	79	41	42	
isogroup10032	127	136	30	69	130	119	120	54	57	96	56	102	63	73	11	116	14	20	12	15	
isogroup10034	14	22	5	7	14	13	6	8	4	7	2	9	5	9	5	11	2	8	2	6	
isogroup10036	8	16	44	1	2	0	1	3	0	38	4	33	3	3	0	3	0	683	54	132	
isogroup10038	41	39	45	25	72	42	29	16	20	30	30	28	13	19	12	28	7	22	7	100	
isogroup10039	693	1062	461	582	1145	1207	667	266	302	486	189	650	298	550	260	589	139	354	132	141	
isogroup10040	24	22	3	6	18	19	5	4	2	2	3	4	4	5	9	10	5	5	2	5	
isogroup10041	5	16	3	3	8	7	4	4	4	5	3	9	2	4	1	5	6	4	2	5	
isogroup10043	2	28	16	12	10	12	8	7	17	16	18	9	19	4	16	7	18	7	25	8	
isogroup10044	1	3	40	0	0	0	0	0	7	0	142	0	4	1	0	0	0	10	4	265	
isogroup10045	59	114	57	49	98	83	84	35	31	70	22	69	47	47	18	56	11	27	21	22	
isogroup10046	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	
isogroup10047	18	52	28	29	116	44	43	19	24	30	21	96	20	44	18	51	7	65	9	21	
isogroup10049	0	8	3	7	2	11	5	1	11	5	9	0	4	7	7	0	12	2	5	6	
isogroup1005	20	29	20	19	29	31	11	12	17	8	20	19	17	18	23	11	30	37	26	18	
isogroup10050	97	104	52	77	174	133	112	45	58	74	55	103	59	114	27	117	18	47	18	32	
isogroup10051	8	4	9	3	8	8	0	7	0	0	3	1	2	4	6	6	2	8	2	3	
isogroup10052	4	5	173	2	0	6	2	1	33	4	618	1	65	3	0	1	0	27	27	1031	
isogroup10053	217	474	174	278	506	440	396	150	234	278	220	372	187	217	128	259	60	236	98	101	
isogroup10054	4	46	16	24	21	27	29	3	25	12	36	15	7	11	12	28	23	5	9	15	
